trip_duration_sec,trip_duration_min,trip_duration_hr,distance_traveled_Km,KPH,wait_time_cost,distance_cost,fare_w_flag,tip,miscellaneous_fees,total_fare_new,num_of_passengers,surge_applied
1271,21.18,0.353,4.84,13.71104816,8.45,7.52,18.67,0,26.63,45.3,1,TRUE
915,15.25,0.254166667,4.46,17.54754098,6.08,6.93,15.71,26,33.7,75.41,1,TRUE
742,12.37,0.206166667,4.89,23.71867421,4.93,7.6,15.23,11,30.63,56.86,3,TRUE
1467,24.45,0.4075,5.21,12.78527607,9.75,8.09,20.54,0,6,26.54,1,FALSE
929,15.48,0.258,4.31,16.70542636,6.18,6.7,15.58,25,5.9,46.48,1,FALSE
1149,19.15,0.319166667,9.35,29.29503916,7.64,14.52,24.86,0,26.63,51.49,1,TRUE
1146,19.1,0.318333333,3.88,12.18848168,7.62,6.03,16.35,37,26.83,80.18,1,TRUE
1023,17.05,0.284166667,2.41,8.480938416,6.8,3.74,13.24,19,6.13,38.37,2,FALSE
255,4.25,7.08E-02,2.48,35.01176471,1.7,3.85,8.25,0,6,14.25,1,FALSE
668,11.13,0.1855,3.11,16.76549865,4.44,4.83,11.97,0,9.75,21.72,2,FALSE
3722,62.03,1.033833333,19.17,18.54264066,24.75,29.78,57.23,89,34.3,180.53,1,TRUE
962,16.03,0.267166667,12.7,47.53587024,6.4,19.73,28.83,37,6.2,72.03,1,FALSE
890,14.83,0.247166667,1.45,5.866486851,5.92,2.25,10.87,0,6,16.87,2,FALSE
266,4.43,7.38E-02,1.3,17.60722348,1.77,2.02,6.49,0,9.75,16.24,1,FALSE
830,13.83,0.2305,2.82,12.23427332,5.52,4.38,12.6,32,26.27,70.87,1,TRUE
1200,20,0.333333333,4.97,14.91,7.98,7.72,18.4,8,26.13,52.53,1,TRUE
1070,17.83,0.297166667,7.89,26.55075715,7.11,12.26,22.07,32,26.95,81.02,1,TRUE
1528,25.47,0.4245,10.67,25.13545347,10.16,16.58,29.44,0,6,35.44,1,FALSE
1738,28.97,0.482833333,7.56,15.6575768,11.56,11.74,26,31,6.13,63.13,1,FALSE
1691,28.18,0.469666667,9.12,19.41802697,11.24,14.17,28.11,34,6.2,68.31,1,FALSE
1005,16.75,0.279166667,4.55,16.29850746,6.68,7.07,16.45,0,6,22.45,1,FALSE
529,8.82,0.147,2.7,18.36734694,3.52,4.19,10.41,0,13.5,23.91,1,FALSE
472,7.87,0.131166667,1.27,9.682337992,3.14,1.97,7.81,16,6.43,30.24,1,FALSE
701,11.68,0.194666667,3.38,17.3630137,4.66,5.25,12.61,0,26.63,39.24,1,TRUE
679,11.32,0.188666667,3.27,17.33215548,4.51,5.08,12.29,16,9.95,38.24,1,FALSE
1027,17.12,0.285333333,2.75,9.637850467,6.83,4.27,13.8,0,26.63,40.43,6,TRUE
616,10.27,0.171166667,2.82,16.4751704,4.1,4.38,11.18,0,30.38,41.56,1,TRUE
1360,22.67,0.377833333,6.66,17.62681959,9.04,10.35,22.09,0,6,28.09,2,FALSE
756,12.6,0.21,3.01,14.33333333,5.03,4.68,12.41,0,6,18.41,1,FALSE
416,6.93,0.1155,2.57,22.25108225,2.77,3.99,9.46,0,6,15.46,1,FALSE
565,9.42,0.157,2.72,17.32484076,3.76,4.23,10.69,0,6,16.69,2,FALSE
495,8.25,0.1375,2.24,16.29090909,3.29,3.48,9.47,21,26.33,56.8,1,TRUE
782,13.03,0.217166667,2.03,9.347659248,5.2,3.15,11.05,0,6,17.05,1,FALSE
696,11.6,0.193333333,10.86,56.17241379,4.63,16.87,24.2,50,55.45,129.65,1,FALSE
644,10.73,0.178833333,2.8,15.65703635,4.28,4.35,11.33,14,5.95,31.28,1,FALSE
524,8.73,0.1455,3.38,23.23024055,3.48,5.25,11.43,15,5.63,32.06,1,FALSE
1160,19.33,0.322166667,11.43,35.47853078,7.71,17.76,28.17,41,34.38,103.55,1,TRUE
1119,18.65,0.310833333,3.73,12,7.44,5.79,15.93,19,26.23,61.16,1,TRUE
353,5.88,9.80E-02,1.48,15.10204082,2.35,2.3,7.35,0,6,13.35,1,FALSE
820,13.67,0.227833333,2.82,12.37746891,5.45,4.38,12.53,15,26.85,54.38,1,TRUE
296,4.93,8.22E-02,1.42,17.28194726,1.97,2.21,6.88,10,13.7,30.58,1,FALSE
404,6.73,0.112166667,1.37,12.21396731,2.69,2.13,7.52,11,5.95,24.47,1,FALSE
593,9.88,0.164666667,2.77,16.82186235,3.94,4.3,10.94,8,33.63,52.57,1,TRUE
620,10.33,0.172166667,2.41,13.99806389,4.12,3.74,10.56,4,5.68,20.24,1,FALSE
1383,23.05,0.384166667,3.36,8.746203905,9.2,5.22,17.12,0,6,23.12,1,FALSE
584,9.73,0.162166667,1.93,11.90133607,3.88,3,9.58,0,34.13,43.71,1,TRUE
748,12.47,0.207833333,4.55,21.8925421,4.97,7.07,14.74,0,6,20.74,1,FALSE
306,5.1,8.50E-02,1.29,15.17647059,2.03,2,6.73,0,13.5,20.23,1,FALSE
619,10.32,0.172,2.7,15.69767442,4.12,4.19,11.01,8,5.5,24.51,1,FALSE
453,7.55,0.125833333,1.83,14.54304636,3.01,2.84,8.55,8,26.58,43.13,1,TRUE
318,5.3,8.83E-02,1.37,15.50943396,2.11,2.13,6.94,14,13.15,34.09,3,FALSE
721,12.02,0.200333333,2,9.983361065,4.79,3.11,10.6,8,5.5,24.1,1,FALSE
1136,18.93,0.3155,3.99,12.64659271,7.55,6.2,16.45,19,26.83,62.28,6,TRUE
603,10.05,0.1675,2.51,14.98507463,4.01,3.9,10.61,0,34.13,44.74,1,TRUE
420,7,0.116666667,2.35,20.14285714,2.79,3.65,9.14,15,9.75,33.89,1,FALSE
315,5.25,8.75E-02,1.29,14.74285714,2.09,2,6.79,10,9.88,26.67,1,FALSE
182,3.03,5.05E-02,1.08,21.38613861,1.21,1.68,5.59,0,6,11.59,1,FALSE
677,11.28,0.188,1.88,10,4.5,2.92,10.12,11,6.25,27.37,1,FALSE
730,12.17,0.202833333,2.3,11.33935908,4.85,3.57,11.12,0,6,17.12,1,FALSE
762,12.7,0.211666667,2.57,12.14173228,5.07,3.99,11.76,17,13.45,42.21,1,FALSE
762,12.7,0.211666667,2.35,11.1023622,5.07,3.65,11.42,24,13.8,49.22,2,FALSE
392,6.53,0.108833333,1.59,14.60949464,2.61,2.47,7.78,0,13.5,21.28,1,FALSE
524,8.73,0.1455,1.67,11.47766323,3.48,2.59,8.77,16,5.6,30.37,1,FALSE
601,10.02,0.167,1.92,11.49700599,4,2.98,9.68,17,26.95,53.63,1,TRUE
2980,49.67,0.827833333,14.03,16.94785585,19.81,21.79,44.3,59,29.95,133.25,1,TRUE
430,7.17,0.1195,1.3,10.87866109,2.86,2.02,7.58,16,6.43,30.01,1,FALSE
692,11.53,0.192166667,2.41,12.54119688,4.6,3.74,11.04,37,5.75,53.79,1,FALSE
1041,17.35,0.289166667,4.02,13.90201729,6.92,6.24,15.86,25,26.38,67.24,1,TRUE
439,7.32,0.122,1.46,11.96721311,2.92,2.27,7.89,0,13.5,21.39,1,FALSE
800,13.33,0.222166667,2.74,12.33308327,5.32,4.26,12.28,0,6,18.28,1,FALSE
232,3.87,6.45E-02,1.45,22.48062016,1.54,2.25,6.49,0,9.75,16.24,1,FALSE
2700,45,0.75,30.22,40.29333333,17.95,46.94,67.59,45,51.38,163.97,2,FALSE
387,6.45,0.1075,2.19,20.37209302,2.57,3.4,8.67,0,6,14.67,1,FALSE
1213,20.22,0.337,4.65,13.79821958,8.07,7.22,17.99,0,6,23.99,1,FALSE
200,3.33,5.55E-02,1.93,34.77477477,1.33,3,7.03,0,13.5,20.53,1,FALSE
1288,21.47,0.357833333,5.79,16.18071728,8.56,8.99,20.25,0,6,26.25,1,FALSE
243,4.05,6.75E-02,1.66,24.59259259,1.62,2.58,6.9,8,9.25,24.15,1,FALSE
274,4.57,7.62E-02,2.04,26.7833698,1.82,3.17,7.69,14,9.4,31.09,1,FALSE
934,15.57,0.2595,4.22,16.26204239,6.21,6.56,15.47,26,26.5,67.97,1,TRUE
427,7.12,0.118666667,2.67,22.5,2.84,4.15,9.69,0,9.75,19.44,1,FALSE
1065,17.75,0.295833333,4.18,14.12957746,7.08,6.49,16.27,15,6,37.27,1,FALSE
406,6.77,0.112833333,2.48,21.97932053,2.7,3.85,9.25,12,5.7,26.95,1,FALSE
1337,22.28,0.371333333,11.52,31.02333932,8.89,17.9,29.49,41,26.95,97.44,1,TRUE
1895,31.58,0.526333333,5.86,11.13362888,12.6,9.1,24.4,0,6,30.4,1,FALSE
341,5.68,9.47E-02,1.66,17.53521127,2.27,2.58,7.55,0,9.75,17.3,1,FALSE
563,9.38,0.156333333,2.86,18.29424307,3.74,4.44,10.88,0,26.63,37.51,1,TRUE
549,9.15,0.1525,1.85,12.13114754,3.65,2.87,9.22,16,5.6,30.82,1,FALSE
516,8.6,0.143333333,6.24,43.53488372,3.43,9.69,15.82,11,6.25,33.07,1,FALSE
528,8.8,0.146666667,1.96,13.36363636,3.51,3.04,9.25,15,34.13,58.38,1,TRUE
419,6.98,0.116333333,1.92,16.50429799,2.79,2.98,8.47,16,6.43,30.9,1,FALSE
1548,25.8,0.43,4.02,9.348837209,10.29,6.24,19.23,0,26.63,45.86,1,TRUE
334,5.57,9.28E-02,2.29,24.66786355,2.22,3.56,8.48,12,13.95,34.43,1,FALSE
552,9.2,0.153333333,2.45,15.97826087,3.67,3.81,10.18,13,5.75,28.93,1,FALSE
739,12.32,0.205333333,7.03,34.23701299,4.91,10.92,18.53,24,9.45,51.98,1,FALSE
1893,31.55,0.525833333,7.03,13.36925515,12.59,10.92,26.21,0,13.5,39.71,2,FALSE
563,9.38,0.156333333,2.74,17.52665245,3.74,4.26,10.7,19,30.13,59.83,1,TRUE
989,16.48,0.274666667,2.59,9.42961165,6.58,4.02,13.3,20,13.45,46.75,1,FALSE
538,8.97,0.1495,3.01,20.13377926,3.58,4.68,10.96,14,5.95,30.91,1,FALSE
295,4.92,8.20E-02,1.06,12.92682927,1.96,1.65,6.31,13,6.05,25.36,1,FALSE
532,8.87,0.147833333,2.01,13.59639233,3.54,3.12,9.36,0,13.5,22.86,1,FALSE
1882,31.37,0.522833333,13.57,25.95473382,12.51,21.08,36.29,55,55.4,146.69,2,FALSE
1017,16.95,0.2825,4.25,15.04424779,6.76,6.6,16.06,22,13.7,51.76,1,FALSE
583,9.72,0.162,4.38,27.03703704,3.88,6.8,13.38,0,9.75,23.13,1,FALSE
327,5.45,9.08E-02,1.61,17.72477064,2.17,2.5,7.37,10,6.13,23.5,2,FALSE
1852,30.87,0.5145,16.09,31.27308066,12.31,24.99,40,52,27.13,119.13,1,TRUE
595,9.92,0.165333333,2.2,13.30645161,3.96,3.42,10.08,0,13.5,23.58,1,FALSE
1146,19.1,0.318333333,6.58,20.67015707,7.62,10.22,20.54,44,26.58,91.12,1,TRUE
2200,36.67,0.611166667,13.58,22.2197982,14.63,21.1,38.43,0,6,44.43,1,FALSE
451,7.52,0.125333333,2.16,17.23404255,3,3.36,9.06,13,13.7,35.76,1,FALSE
761,12.68,0.211333333,2.66,12.58675079,5.06,4.13,11.89,19,6.35,37.24,1,FALSE
1087,18.12,0.302,8.27,27.38410596,7.23,12.85,22.78,28,9.95,60.73,1,FALSE
150,2.5,4.17E-02,1.03,24.72,1,1.6,5.3,9,6,20.3,1,FALSE
1787,29.78,0.496333333,17.51,35.27871054,11.88,27.2,41.78,188,13,242.78,1,FALSE
716,11.93,0.198833333,2.74,13.78038558,4.76,4.26,11.72,0,6,17.72,1,FALSE
884,14.73,0.2455,3.36,13.68635438,5.88,5.22,13.8,0,26.63,40.43,3,TRUE
314,5.23,0.087166667,2.19,25.12428298,2.09,3.4,8.19,0,9.75,17.94,1,FALSE
917,15.28,0.254666667,3.27,12.84031414,6.1,5.08,13.88,0,26.63,40.51,1,TRUE
869,14.48,0.241333333,3.86,15.99447514,5.78,6,14.48,22,27.13,63.61,1,TRUE
749,12.48,0.208,4.44,21.34615385,4.98,6.9,14.58,0,26.63,41.21,1,TRUE
524,8.73,0.1455,1.92,13.19587629,3.48,2.98,9.16,12,6.45,27.61,1,FALSE
490,8.17,0.136166667,1.87,13.73317013,3.26,2.9,8.86,14,13.45,36.31,1,FALSE
1121,18.68,0.311333333,6.73,21.61670236,7.45,10.45,20.6,0,9.75,30.35,1,FALSE
471,7.85,0.130833333,2.9,22.1656051,3.13,4.5,10.33,21,9.38,40.71,1,FALSE
1658,27.63,0.4605,11.07,24.03908795,11.02,17.2,30.92,48,6.38,85.3,1,FALSE
671,11.18,0.186333333,4.04,21.68157424,4.46,6.28,13.44,17,9.7,40.14,1,FALSE
777,12.95,0.215833333,3.32,15.38223938,5.17,5.16,13.03,23,33.7,69.73,1,TRUE
755,12.58,0.209666667,3.43,16.35930048,5.02,5.33,13.05,0,13.5,26.55,1,FALSE
718,11.97,0.1995,2.78,13.93483709,4.77,4.32,11.79,18,13.2,42.99,1,FALSE
838,13.97,0.232833333,7.23,31.05225483,5.57,11.23,19.5,0,30.38,49.88,1,TRUE
1489,24.82,0.413666667,4.02,9.71796938,9.9,6.24,18.84,0,6,24.84,1,FALSE
440,7.33,0.122166667,2.41,19.7271487,2.93,3.74,9.37,0,6,15.37,1,FALSE
390,6.5,0.108333333,1.98,18.27692308,2.59,3.08,8.37,11,5.95,25.32,1,FALSE
536,8.93,0.148833333,2.72,18.27547592,3.56,4.23,10.49,19,30.2,59.69,1,TRUE
265,4.42,7.37E-02,0.98,13.30316742,1.76,1.52,5.98,9,5.7,20.68,2,FALSE
254,4.23,7.05E-02,1.05,14.89361702,1.69,1.63,6.02,9,5.7,20.72,1,FALSE
468,7.8,0.13,2.12,16.30769231,3.11,3.29,9.1,0,6,15.1,1,FALSE
379,6.32,0.105333333,1.48,14.05063291,2.52,2.3,7.52,8,26.13,41.65,1,TRUE
641,10.68,0.178,4.54,25.50561798,4.26,7.05,14.01,0,30.38,44.39,1,TRUE
441,7.35,0.1225,7,57.14285714,2.93,10.87,16.5,38,2.2,56.7,2,FALSE
461,7.68,0.128,2.91,22.734375,3.07,4.52,10.29,21,5.93,37.22,1,FALSE
272,4.53,7.55E-02,1,13.24503311,1.81,1.55,6.06,9,5.7,20.76,1,FALSE
1656,27.6,0.46,11.39,24.76086957,11.01,17.69,31.4,30,26.25,87.65,1,TRUE
290,4.83,8.05E-02,0.9,11.18012422,1.93,1.4,6.03,13,6.05,25.08,1,FALSE
1563,26.05,0.434166667,18.36,42.28790787,10.39,28.52,41.61,0,55.13,96.74,1,FALSE
1277,21.28,0.354666667,12.81,36.11842105,8.49,19.9,31.09,49,54.65,134.74,1,FALSE
385,6.42,0.107,2.14,20,2.56,3.32,8.58,0,13.5,22.08,1,FALSE
208,3.47,5.78E-02,1.61,27.83861671,1.38,2.5,6.58,13,5.75,25.33,1,FALSE
2661,44.35,0.739166667,12.96,17.53325817,17.69,20.13,40.52,0,13.5,54.02,1,FALSE
508,8.47,0.141166667,2.54,17.99291617,3.38,3.95,10.03,0,6,16.03,1,FALSE
791,13.18,0.219666667,4.99,22.71623672,5.26,7.75,15.71,23,26.88,65.59,1,TRUE
1457,24.28,0.404666667,11.59,28.64085667,9.69,18,30.39,22,27.13,79.52,4,TRUE
3175,52.92,0.882,12.96,14.69387755,21.11,20.13,43.94,0,9.75,53.69,1,FALSE
592,9.87,0.1645,3.46,21.03343465,3.94,5.37,12.01,24,6.38,42.39,1,FALSE
263,4.38,7.30E-02,1.96,26.84931507,1.75,3.04,7.49,0,9.75,17.24,1,FALSE
56,0.93,1.55E-02,0.95,61.29032258,0.37,1.48,4.55,0,2.25,6.8,1,FALSE
699,11.65,0.194166667,11.57,59.58798283,4.65,17.97,25.32,15,6,46.32,1,FALSE
1853,30.88,0.514666667,26.34,51.17875648,12.32,40.92,55.94,0,2.25,58.19,1,FALSE
149,2.48,4.13E-02,1.06,25.64516129,0.99,1.65,5.34,8,9.25,22.59,1,FALSE
333,5.55,9.25E-02,1.32,14.27027027,2.21,2.05,6.96,0,6,12.96,1,FALSE
1825,30.42,0.507,18.78,37.04142012,12.13,29.17,44,65,62.65,171.65,1,FALSE
369,6.15,0.1025,1.56,15.2195122,2.45,2.42,7.57,13,5.75,26.32,1,FALSE
565,9.42,0.157,1.93,12.29299363,3.76,3,9.46,12,6.38,27.84,1,FALSE
359,5.98,9.97E-02,2.32,23.27759197,2.39,3.6,8.69,11,5.95,25.64,5,FALSE
1755,29.25,0.4875,6.55,13.43589744,11.67,10.17,24.54,34,26.45,84.99,1,TRUE
202,3.37,0.056166667,0.89,15.84569733,1.34,1.38,5.42,0,6,11.42,1,FALSE
553,9.22,0.153666667,6.26,40.73752711,3.68,9.72,16.1,0,9.75,25.85,1,FALSE
2058,34.3,0.571666667,30.42,53.21282799,13.68,47.26,63.64,89,55.15,207.79,1,FALSE
922,15.37,0.256166667,3.22,12.56994144,6.13,5,13.83,19,13.7,46.53,1,FALSE
384,6.4,0.106666667,1.37,12.84375,2.55,2.13,7.38,0,13.5,20.88,1,FALSE
1171,19.52,0.325333333,6.13,18.84221311,7.79,9.52,20.01,29,30.7,79.71,1,TRUE
1413,23.55,0.3925,8.79,22.39490446,9.39,13.65,25.74,0,9.75,35.49,1,FALSE
455,7.58,0.126333333,2.22,17.57255937,3.03,3.45,9.18,12,6.45,27.63,1,FALSE
246,4.1,6.83E-02,1.08,15.80487805,1.64,1.68,6.02,8,5.95,19.97,1,FALSE
320,5.33,8.88E-02,1.61,18.12382739,2.13,2.5,7.33,0,9.75,17.08,1,FALSE
1308,21.8,0.363333333,4.65,12.79816514,8.7,7.22,18.62,31,5.6,55.22,1,FALSE
1756,29.27,0.487833333,7.71,15.80457807,11.68,11.98,26.36,35,30.55,91.91,5,TRUE
823,13.72,0.228666667,3.14,13.73177843,5.47,4.88,13.05,18,13.95,45,1,FALSE
502,8.37,0.1395,3.22,23.08243728,3.34,5,11.04,15,9.75,35.79,1,FALSE
1557,25.95,0.4325,12.42,28.71676301,10.35,19.29,32.34,59,105.7,197.04,1,FALSE
1269,21.15,0.3525,5.44,15.43262411,8.44,8.45,19.59,25,6.2,50.79,1,FALSE
1102,18.37,0.306166667,4.83,15.77572128,7.33,7.5,17.53,26,26.2,69.73,1,TRUE
1691,28.18,0.469666667,6.28,13.37118524,11.24,9.76,23.7,0,9.75,33.45,2,FALSE
546,9.1,0.151666667,1.67,11.01098901,3.63,2.59,8.92,19,5.68,33.6,1,FALSE
338,5.63,9.38E-02,0.9,9.591474245,2.25,1.4,6.35,0,6,12.35,1,FALSE
755,12.58,0.209666667,3.03,14.45151033,5.02,4.71,12.43,15,26.85,54.28,1,TRUE
234,3.9,6.50E-02,1.22,18.76923077,1.56,1.9,6.16,8,13,27.16,1,FALSE
1126,18.77,0.312833333,6.21,19.85082579,7.49,9.65,19.84,0,9.75,29.59,1,FALSE
520,8.67,0.1445,2.86,19.79238754,3.46,4.44,10.6,13,6.2,29.8,1,FALSE
985,16.42,0.273666667,4.51,16.47990256,6.55,7.01,16.26,30,26.7,72.96,1,TRUE
497,8.28,0.138,2.64,19.13043478,3.3,4.1,10.1,0,6,16.1,1,FALSE
1978,32.97,0.5495,7.61,13.84895359,13.15,11.82,27.67,0,6,33.67,1,FALSE
889,14.82,0.247,5.49,22.22672065,5.91,8.53,17.14,0,9.75,26.89,1,FALSE
759,12.65,0.210833333,5.89,27.93675889,5.05,9.15,16.9,27,5.85,49.75,1,FALSE
889,14.82,0.247,5.47,22.14574899,5.91,8.5,17.11,0,6,23.11,1,FALSE
218,3.63,6.05E-02,1.64,27.10743802,1.45,2.55,6.7,5,10,21.7,1,FALSE
3053,50.88,0.848,12.41,14.63443396,20.3,19.28,42.28,56,34.45,132.73,1,TRUE
1067,17.78,0.296333333,3.69,12.45219348,7.09,5.73,15.52,24,26.7,66.22,1,TRUE
630,10.5,0.175,3.7,21.14285714,4.19,5.75,12.64,0,6,18.64,1,FALSE
126,2.1,3.50E-02,1.05,30,0.84,1.63,5.17,0,9.75,14.92,1,FALSE
659,10.98,0.183,3.64,19.89071038,4.38,5.65,12.73,24,27.08,63.81,1,TRUE
150,2.5,4.17E-02,0.89,21.36,1,1.38,5.08,0,9.75,14.83,5,FALSE
638,10.63,0.177166667,2.99,16.87676388,4.24,4.64,11.58,0,6,17.58,1,FALSE
496,8.27,0.137833333,2.8,20.31438936,3.3,4.35,10.35,13,6.2,29.55,1,FALSE
1044,17.4,0.29,4.8,16.55172414,6.94,7.46,17.1,0,6,23.1,2,FALSE
1068,17.8,0.296666667,3.06,10.31460674,7.1,4.75,14.55,0,6,20.55,1,FALSE
1231,20.52,0.342,6.89,20.14619883,8.18,10.7,21.58,0,6,27.58,1,FALSE
1225,20.42,0.340333333,5.84,17.1596474,8.14,9.07,19.91,26,5.95,51.86,1,FALSE
516,8.6,0.143333333,1.93,13.46511628,3.43,3,9.13,0,13.5,22.63,1,FALSE
21,0.35,5.83E-03,0.16,27.42857143,0.14,0.25,3.09,0,6,9.09,1,FALSE
640,10.67,0.177833333,6.12,34.41424555,4.26,9.51,16.47,30,43.13,89.6,1,FALSE
352,5.87,9.78E-02,1.13,11.55025554,2.34,1.76,6.8,75,6,87.8,1,FALSE
601,10.02,0.167,2.69,16.10778443,4,4.18,10.88,0,9.75,20.63,2,FALSE
1154,19.23,0.3205,4.99,15.56942278,7.67,7.75,18.12,28,26.38,72.5,2,TRUE
606,10.1,0.168333333,2.49,14.79207921,4.03,3.87,10.6,14,5.95,30.55,2,FALSE
576,9.6,0.16,2.45,15.3125,3.83,3.81,10.34,0,13.5,23.84,1,FALSE
2837,47.28,0.788,19.75,25.06345178,18.86,30.68,52.24,81,6.15,139.39,2,FALSE
887,14.78,0.246333333,3.64,14.7767253,5.9,5.65,14.25,0,6,20.25,1,FALSE
964,16.07,0.267833333,4.25,15.86807716,6.41,6.6,15.71,21,13.95,50.66,1,FALSE
541,9.02,0.150333333,1.61,10.70953437,3.6,2.5,8.8,0,6,14.8,1,FALSE
1771,29.52,0.492,9.37,19.04471545,11.78,14.56,29.04,41,26.95,96.99,5,TRUE
1099,18.32,0.305333333,9.21,30.16375546,7.31,14.31,24.32,0,6,30.32,1,FALSE
324,5.4,9.00E-02,1.4,15.55555556,2.15,2.17,7.02,0,6,13.02,1,FALSE
1272,21.2,0.353333333,3.96,11.20754717,8.46,6.15,17.31,0,6,23.31,1,FALSE
464,7.73,0.128833333,1.66,12.88486417,3.09,2.58,8.37,0,13.5,21.87,1,FALSE
1099,18.32,0.305333333,5.05,16.53930131,7.31,7.84,17.85,26,26.95,70.8,2,TRUE
402,6.7,0.111666667,2.41,21.58208955,2.67,3.74,9.11,20,13.3,42.41,1,FALSE
2185,36.42,0.607,29.13,47.99011532,14.53,45.25,62.48,0,9.75,72.23,1,FALSE
1159,19.32,0.322,11.65,36.18012422,7.71,18.1,28.51,15,6,49.51,1,FALSE
332,5.53,9.22E-02,2.2,23.86980108,2.21,3.42,8.33,8,6.25,22.58,1,FALSE
1392,23.2,0.386666667,19.51,50.45689655,9.26,30.31,42.27,64,58.4,164.67,1,FALSE
1263,21.05,0.350833333,10.8,30.78384798,8.4,16.78,27.88,8,26.13,62.01,1,TRUE
309,5.15,8.58E-02,0.45,5.242718447,2.05,0.7,5.45,0,6,11.45,1,FALSE
1180,19.67,0.327833333,2.83,8.63243518,7.85,4.4,14.95,31,26.67,72.62,1,TRUE
454,7.57,0.126166667,2.49,19.73579921,3.02,3.87,9.59,0,9.75,19.34,1,FALSE
1082,18.03,0.3005,5.39,17.93677205,7.19,8.37,18.26,26,26.95,71.21,1,TRUE
528,8.8,0.146666667,6.2,42.27272727,3.51,9.63,15.84,25,5.9,46.74,1,FALSE
1191,19.85,0.330833333,4.2,12.69521411,7.92,6.52,17.14,24,27,68.14,1,TRUE
1710,28.5,0.475,7.48,15.74736842,11.37,11.62,25.69,15,33.75,74.44,1,TRUE
2180,36.33,0.6055,15.14,25.00412882,14.49,23.52,40.71,0,34.13,74.84,1,TRUE
471,7.85,0.130833333,1.93,14.75159236,3.13,3,8.83,13,34.1,55.93,1,TRUE
871,14.52,0.242,5.07,20.95041322,5.79,7.88,16.37,0,26.63,43,2,TRUE
770,12.83,0.213833333,9.99,46.71862822,5.12,15.52,23.34,0,6,29.34,5,FALSE
2195,36.58,0.609666667,5.21,8.545653362,14.59,8.09,25.38,0,13.5,38.88,1,FALSE
930,15.5,0.258333333,9.7,37.5483871,6.18,15.07,23.95,0,9.75,33.7,1,FALSE
1708,28.47,0.4745,14.52,30.60063224,11.36,22.56,36.62,0,6,42.62,1,FALSE
1270,21.17,0.352833333,5.15,14.59612659,8.44,8,19.14,29,26.88,75.02,1,TRUE
433,7.22,0.120333333,1.82,15.12465374,2.88,2.83,8.41,12,9.45,29.86,2,FALSE
415,6.92,0.115333333,1.82,15.78034682,2.76,2.83,8.29,0,9.75,18.04,1,FALSE
1951,32.52,0.542,8.82,16.27306273,12.97,13.7,29.37,0,22.88,52.25,2,TRUE
